,run_id,name,distance,moving_time,elapsed_time,type,start_date,start_date_local,location_country,average_heartrate,average_speed
33,9223370334080824807,run from keep,12876.66,01:11:16,01:11:17,Run,2023-12-16 23:34:34,2023-12-17 07:34:34,"{'latitude': 30.31927, 'longitude': 120.239505, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",165.0,5''32
32,9223370334000442807,run from keep,10630.66,00:58:02,00:58:02,Run,2023-12-17 22:07:31,2023-12-18 06:07:31,"{'latitude': 30.319202, 'longitude': 120.239545, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",152.0,5''27
31,9223370333913864807,run from keep,12491.55,01:06:03,01:06:04,Run,2023-12-18 22:02:27,2023-12-19 06:02:27,"{'latitude': 30.319185, 'longitude': 120.239512, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",176.0,5''17
30,9223370333827632449,run from keep,10119.575595266186,00:57:04,00:57:13,Run,2023-12-19 22:08:30,2023-12-20 06:08:30,"{'latitude': 30.319050055330916, 'longitude': 120.2394783815061, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",159.0,5''38
29,9223370333689632807,run from keep,10588.91,00:57:30,00:57:29,Run,2023-12-21 12:28:14,2023-12-21 20:28:14,"{'latitude': 30.318402, 'longitude': 120.239264, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",155.0,5''25
28,9223370333654679807,run from keep,11233.81,01:02:16,01:02:16,Run,2023-12-21 22:06:00,2023-12-22 06:06:00,"{'latitude': 30.319182, 'longitude': 120.239515, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",141.0,5''32
27,9223370333556220807,run from keep,21366.81,01:54:04,01:54:04,Run,2023-12-23 00:35:11,2023-12-23 08:35:11,"{'latitude': 30.319354, 'longitude': 120.239459, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",163.0,5''20
26,9223370333473563110,run from keep,10151.802731571719,00:53:05,00:53:06,Run,2023-12-24 00:33:46,2023-12-24 08:33:46,"{'latitude': 30.31915147139404, 'longitude': 120.23953916341877, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",162.0,5''13
25,9223370333395664807,run from keep,10333.61,00:55:01,00:55:01,Run,2023-12-24 22:10:10,2023-12-25 06:10:10,"{'latitude': 30.319235, 'longitude': 120.239524, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",147.0,5''19
24,9223370333308946807,run from keep,10397.39,00:55:33,00:55:37,Run,2023-12-25 22:14:52,2023-12-26 06:14:52,"{'latitude': 30.319344, 'longitude': 120.239453, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",144.0,5''20
23,9223370333222408807,run from keep,11432.66,00:59:14,00:59:13,Run,2023-12-26 22:13:34,2023-12-27 06:13:34,"{'latitude': 30.319149, 'longitude': 120.239518, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",168.0,5''10
22,9223370333175501107,run from keep,312.7999999999999,00:29:49,00:29:51,Run,2023-12-27 11:44:42,2023-12-27 19:44:42,"{'latitude': 30.317851, 'longitude': 120.239392, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': None, 'districtCode': None}",,95''19
21,9223370333133260807,run from keep,4471.83,00:24:58,00:25:15,Run,2023-12-27 23:33:20,2023-12-28 07:33:20,"{'latitude': 30.305593, 'longitude': 120.2529, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",162.0,5''34
20,9223370333086278807,run from keep,8322.6953125,00:45:18,00:45:18,Run,2023-12-28 12:16:19,2023-12-28 20:16:19,"{'latitude': 30.299985, 'longitude': 120.240929, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': None, 'districtCode': None}",158.0,5''26
19,9223370333049964807,run from keep,10205.48,00:55:49,00:55:50,Run,2023-12-28 22:11:01,2023-12-29 06:11:01,"{'latitude': 30.319237, 'longitude': 120.239495, 'country': '中国', 'nationCode': '156', 'province': '浙江省', 'city': '杭州市', 'cityCode': '0571', 'district': '上城区', 'districtCode': '330102'}",164.0,5''28
